,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
9230,Autovettura,0,0,1,0,0.0,41.8747,12.5864,1,1,0
12154,Autocarro,0,0,1,0,0.0,41.8682,12.4475,1,2,1
12094,Autovettura,0,0,1,0,0.0,41.7281,12.3798,1,2,1
12093,Autovettura,0,0,1,0,0.0,41.7281,12.3798,1,2,1
12078,Autocarro,0,0,1,0,0.0,41.8653,12.645,1,2,1
12077,Autovettura,0,0,1,0,0.0,41.8653,12.645,1,2,1
12059,Autovettura,0,0,1,0,0.0,41.8872,12.5211,1,2,1
12058,Autovettura,0,0,1,0,0.0,41.8872,12.5211,1,2,0
12006,Autovettura,0,0,2,0,0.0,41.8803,12.5778,1,2,1
12005,Autovettura,0,0,2,0,0.0,41.8803,12.5778,1,2,1
12004,Autovettura,0,0,2,0,0.0,41.8803,12.5778,1,2,1
12003,Autovettura,0,0,2,0,0.0,41.8803,12.5778,1,2,1
12002,Autovettura,0,0,2,0,0.0,41.8803,12.5778,1,2,1
12155,Autovettura,0,0,1,0,0.0,41.8682,12.4475,1,2,0
11989,Motociclo,0,0,0,0,0.0,,,1,1,1
11987,Autovettura,0,0,0,0,0.0,,,1,1,1
11960,Autovettura,0,0,1,0,0.0,41.9314,12.4765,1,1,1
11959,Autovettura,0,0,1,0,0.0,41.9314,12.4765,1,1,1
11953,Autovettura,0,0,1,0,0.0,41.8991,12.5114,1,1,1
11952,Autovettura,0,0,1,0,0.0,41.8991,12.5114,1,1,1
11949,Autovettura,0,0,1,0,0.0,,,1,2,1
11948,Autovettura,0,0,1,0,0.0,,,1,2,1
11947,Autovettura,0,0,1,0,0.0,41.7711,12.4782,1,1,1
11946,Autovettura,0,0,1,0,0.0,41.7711,12.4782,1,1,1
11938,Autovettura,0,0,1,0,0.0,41.905,12.5142,1,2,1
11937,Autovettura,0,0,1,0,0.0,41.905,12.5142,1,2,1
11882,Autovettura,0,0,2,0,0.0,41.7389,12.2648,1,2,1
11988,Autovettura,0,0,0,0,0.0,,,1,1,1
11881,Autovettura,0,0,2,0,0.0,41.7389,12.2648,1,2,0
12187,Autovettura,0,0,0,0,0.0,41.8752,12.4519,1,2,1
12192,Autocarro,0,0,2,0,0.0,41.9155,12.3679,1,2,0
12412,Autovettura,1,0,1,0,0.0,41.8189,12.3124,1,1,0
12400,Autovettura,0,0,1,0,0.0,41.8557,12.6581,1,1,1
12399,Autovettura,0,0,1,0,0.0,41.8557,12.6581,1,1,0
12366,Autovettura,1,0,0,0,0.0,41.7301,12.2749,1,2,0
12365,Autovettura,1,0,0,0,0.0,41.7301,12.2749,1,2,1
12364,Autovettura,0,0,5,0,0.0,41.7827,12.3659,1,1,1
12363,Autovettura,0,0,5,0,0.0,41.7827,12.3659,1,1,1
12362,Autovettura,0,0,5,0,0.0,41.7827,12.3659,1,1,1
12361,Autovettura,0,0,5,0,0.0,41.7827,12.3659,1,1,1
12360,Autovettura,0,0,5,0,0.0,41.7827,12.3659,1,1,1
12354,Autovettura,0,0,0,0,0.0,41.7684,12.3665,1,1,1
12353,Autovettura,0,0,0,0,0.0,41.7684,12.3665,1,1,1
12188,Autovettura,0,0,0,0,0.0,41.8752,12.4519,1,2,1
12329,Autovettura,1,0,1,0,0.0,41.897,12.4103,1,1,0
12323,Autovettura,2,0,0,0,0.0,41.8552,12.5901,1,2,1
12322,Autovettura,2,0,0,0,0.0,41.8552,12.5901,1,2,0
12321,Autovettura,2,0,0,0,0.0,41.8552,12.5901,1,2,0
12296,Motociclo,0,0,1,0,0.0,41.9074,12.4632,1,2,1
12295,Autovettura,0,0,1,0,0.0,41.9074,12.4632,1,2,1
12249,Autovettura,0,0,2,0,0.0,41.8817,12.4679,1,2,1
12248,Autovettura,0,0,2,0,0.0,41.8817,12.4679,1,2,1
12229,Autocarro,0,0,1,0,0.0,41.8727,12.4805,1,2,0
12228,Autovettura,0,0,1,0,0.0,41.8727,12.4805,1,2,1
12223,Autovettura,0,0,0,0,0.0,41.8678,12.5953,1,2,1
12222,Autovettura,0,0,0,0,0.0,41.8678,12.5953,1,2,1
12193,Autovettura,0,0,2,0,0.0,41.9155,12.3679,1,2,0
12328,Autovettura,1,0,1,0,0.0,41.897,12.4103,1,1,0
12413,Autocarro,1,0,1,0,0.0,41.8189,12.3124,1,1,0
11880,Autovettura,0,0,2,0,0.0,41.7389,12.2648,1,2,0
11864,Autovettura,0,0,3,0,0.0,41.8607,12.6825,1,3,0
11671,Autovettura,0,0,2,0,0.0,41.8757,12.5278,1,2,1
11609,Autovettura,0,0,1,0,0.0,41.8761,12.5575,1,2,1
11608,Autovettura,0,0,1,0,0.0,41.8761,12.5575,1,2,0
11604,Autocarro,0,0,2,0,0.0,41.8914,12.3977,1,1,0
11603,Autocarro,0,0,2,0,0.0,41.8914,12.3977,1,1,0
11600,Motociclo,0,0,0,0,0.0,41.8784,12.509,1,1,1
11599,Autovettura,0,0,0,0,0.0,41.8784,12.509,1,1,1
11579,Autovettura,0,0,3,0,0.0,41.9087,12.539,1,2,0
11578,Autovettura,0,0,3,0,0.0,41.9087,12.539,1,2,0
11577,Autovettura,0,0,3,0,0.0,41.9087,12.539,1,2,0
11574,Autovettura,0,0,2,0,0.0,41.7804,12.3626,1,2,0
11573,Autovettura,0,0,2,0,0.0,41.7804,12.3626,1,2,0
11672,Autovettura,0,0,2,0,0.0,41.8757,12.5278,1,2,1
11571,Autovettura,1,0,1,0,0.0,41.9135,12.4734,1,2,1
11569,Autovettura,1,0,1,0,0.0,41.9135,12.4734,1,2,0
11557,Autovettura,0,0,2,0,0.0,41.8856,12.5661,1,2,0
11556,Autovettura,0,0,2,0,0.0,41.8856,12.5661,1,2,0
11550,Autovettura,0,0,1,0,0.0,41.9201,12.4416,1,1,1
11549,Autovettura,0,0,1,0,0.0,41.9201,12.4416,1,1,1
11542,Autocarro,0,0,0,0,0.0,41.8546,12.5601,1,2,1
11541,Autovettura,0,0,0,0,0.0,41.8546,12.5601,1,2,1
11533,Autocarro,0,0,2,0,0.0,42.0181,12.3544,1,2,0
11532,Autovettura,0,0,2,0,0.0,42.0181,12.3544,1,2,0
11530,Autovettura,0,0,2,0,0.0,41.8667,12.466,1,1,0
11529,Autovettura,0,0,2,0,0.0,41.8667,12.466,1,1,0
11526,Autovettura,0,0,1,0,0.0,41.9463,12.4765,1,3,1
11570,Autovettura,1,0,1,0,0.0,41.9135,12.4734,1,2,0
11865,Autovettura,0,0,3,0,0.0,41.8607,12.6825,1,3,0
11673,Autovettura,0,0,2,0,0.0,41.8757,12.5278,1,2,1
11683,Autovettura,0,0,0,0,0.0,41.8918,12.56,1,1,1
11863,Autovettura,0,0,3,0,0.0,41.8607,12.6825,1,3,1
11862,Autovettura,0,0,3,0,0.0,41.8607,12.6825,1,3,1
11847,Autocarro,0,0,2,0,0.0,41.8612,12.6686,1,1,1
11846,Autovettura,0,0,2,0,0.0,41.8612,12.6686,1,1,0
11845,Autovettura,0,0,2,0,0.0,41.8612,12.6686,1,1,0
11795,Autovettura,0,0,1,0,0.0,41.889,12.4815,1,2,1
11794,Autovettura,0,0,1,0,0.0,41.889,12.4815,1,2,0
11784,Autovettura,0,0,1,0,0.0,41.8892,12.5426,1,2,1
11783,Autovettura,0,0,1,0,0.0,41.8892,12.5426,1,2,0
11782,Autovettura,0,0,1,0,0.0,41.9459,12.5568,1,1,1
11781,Autovettura,0,0,1,0,0.0,41.9459,12.5568,1,1,1
11766,Autovettura,0,0,1,0,0.0,41.95,12.5147,1,1,1
11682,Autocarro,0,0,0,0,0.0,41.8918,12.56,1,1,1
11765,Autovettura,0,0,1,0,0.0,41.95,12.5147,1,1,1
11761,Autovettura,0,0,2,0,0.0,41.9382,12.5172,1,2,0
11751,Autovettura,0,0,1,0,0.0,41.8131,12.5255,1,1,1
11750,Autovettura,0,0,1,0,0.0,41.8131,12.5255,1,1,1
11748,Motociclo,0,0,2,0,0.0,41.8966,12.4855,1,3,1
11747,Motociclo,0,0,2,0,0.0,41.8966,12.4855,1,3,1
11746,Autovettura,0,0,2,0,0.0,41.8966,12.4855,1,3,1
11745,Autovettura,0,0,2,0,0.0,41.8966,12.4855,1,3,0
11704,Autovettura,1,0,0,0,0.0,41.8973,12.4129,1,1,1
11703,Autovettura,1,0,0,0,0.0,41.8973,12.4129,1,1,0
11698,Autovettura,0,0,2,0,0.0,41.8694,12.4795,1,1,1
11697,Autovettura,0,0,2,0,0.0,41.8694,12.4795,1,1,1
11696,Autovettura,0,0,2,0,0.0,41.8694,12.4795,1,1,1
11762,Autovettura,0,0,2,0,0.0,41.9382,12.5172,1,2,0
11525,Autovettura,0,0,1,0,0.0,41.9463,12.4765,1,3,0
12489,Motociclo,0,0,2,0,0.0,41.9404,12.5361,1,2,1
12515,Autovettura,0,0,5,0,0.0,41.8885,12.5654,1,2,0
13093,Autovettura,0,0,1,0,0.0,41.8542,12.4954,2,1,1
13092,Autovettura,0,0,1,0,0.0,41.8542,12.4954,2,1,0
13075,Autocarro,0,0,1,0,0.0,41.8947,12.4696,2,2,1
13074,Autovettura,0,0,1,0,0.0,41.8947,12.4696,2,2,0
13044,Autovettura,1,0,0,0,0.0,41.9029,12.536,1,1,1
13043,Autovettura,1,0,0,0,0.0,41.9029,12.536,1,1,0
13038,Autovettura,0,0,2,0,0.0,41.8723,12.4751,1,2,1
13037,Motociclo,0,0,2,0,0.0,41.8723,12.4751,1,2,1
13033,Autovettura,0,0,1,0,0.0,41.928,12.566,1,2,1
13032,Autovettura,0,0,1,0,0.0,41.928,12.566,1,2,0
13025,Autovettura,0,0,1,0,0.0,41.9225,12.5259,1,2,1
13024,Autovettura,0,0,1,0,0.0,41.9225,12.5259,1,2,1
13140,Autovettura,0,0,1,0,0.0,41.9273,12.5215,1,1,1
13023,Autovettura,0,0,1,0,0.0,41.9225,12.5259,1,2,1
13014,Autovettura,0,0,0,0,0.0,41.9589,12.5238,1,2,1
13011,Autovettura,0,0,0,0,0.0,,,1,1,1
13010,Autovettura,0,0,0,0,0.0,,,1,1,1
13005,Autovettura,0,0,1,0,0.0,41.9385,12.4672,1,1,1
13004,Autovettura,0,0,1,0,0.0,41.9385,12.4672,1,1,0
12991,Autovettura,0,0,1,0,0.0,41.9103,12.5194,1,1,0
12990,Autovettura,0,0,1,0,0.0,41.9103,12.5194,1,1,1
12964,Autovettura,0,0,0,0,0.0,41.8935,12.4651,1,1,1
12963,Autovettura,0,0,0,0,0.0,41.8935,12.4651,1,1,1
12962,Autovettura,0,0,1,0,0.0,41.8746,12.4748,2,1,1
12961,Autocarro,0,0,1,0,0.0,41.8746,12.4748,2,1,0
12948,Autovettura,0,0,1,0,0.0,41.89,12.5003,1,1,1
13015,Autovettura,0,0,0,0,0.0,41.9589,12.5238,1,2,1
12947,Autovettura,0,0,1,0,0.0,41.89,12.5003,1,1,1
13141,Autocarro,0,0,1,0,0.0,41.9273,12.5215,1,1,1
13198,Motociclo,0,0,1,0,0.0,41.8867,12.5609,1,2,1
13543,Autovettura,0,0,2,0,0.0,41.9387,12.4329,3,2,1
13542,Autovettura,0,0,2,0,0.0,41.9387,12.4329,3,2,1
13458,Autovettura,0,0,3,0,0.0,41.8863,12.5153,1,3,0
13457,Autovettura,0,0,3,0,0.0,41.8863,12.5153,1,3,0
13456,Autovettura,0,0,3,0,0.0,41.8863,12.5153,1,3,0
13426,Autovettura,0,0,3,0,0.0,41.9428,12.6312,2,1,1
13425,Autovettura,0,0,3,0,0.0,41.9428,12.6312,2,1,1
13424,Autovettura,0,0,3,0,0.0,41.9428,12.6312,2,1,1
13406,Autovettura,0,0,1,0,0.0,41.9368,12.5592,3,2,1
13405,Autocarro,0,0,1,0,0.0,41.9368,12.5592,3,2,0
13404,Autovettura,1,0,0,0,0.0,41.9107,12.4817,2,2,1
13403,Autovettura,1,0,0,0,0.0,41.9107,12.4817,2,2,1
13197,Autovettura,0,0,1,0,0.0,41.8867,12.5609,1,2,0
13335,Autovettura,0,0,5,0,0.0,41.9892,12.5136,2,2,0
13333,Autovettura,0,0,5,0,0.0,41.9892,12.5136,2,2,1
13332,Autovettura,0,0,5,0,0.0,41.9892,12.5136,2,2,1
13331,Autovettura,0,0,5,0,0.0,41.9892,12.5136,2,2,0
13306,Autovettura,0,0,3,0,0.0,41.9964,12.4836,2,2,0
13305,Autovettura,0,0,3,0,0.0,41.9964,12.4836,2,2,0
13304,Autovettura,0,0,3,0,0.0,41.9964,12.4836,2,2,0
13299,Autovettura,0,0,0,1,0.0,41.8469,12.414,2,1,0
13298,Autovettura,0,0,0,1,0.0,41.8469,12.414,2,1,1
13226,Autocarro,0,0,2,0,0.0,,,1,1,1
13225,Autocarro,0,0,2,0,0.0,,,1,1,1
13212,Autovettura,0,0,1,0,0.0,41.916,12.4656,1,2,1
13211,Autovettura,0,0,1,0,0.0,41.916,12.4656,1,2,1
13334,Autovettura,0,0,5,0,0.0,41.9892,12.5136,2,2,1
12490,Autovettura,0,0,2,0,0.0,41.9404,12.5361,1,2,1
12922,Autovettura,0,0,1,0,0.0,41.8779,12.5448,1,2,1
12910,Autovettura,0,0,1,0,0.0,41.8941,12.4319,1,2,1
12682,Autocarro,0,0,2,0,0.0,,,1,2,1
12681,Autocarro,0,0,2,0,0.0,,,1,2,1
12616,Autovettura,0,0,1,0,0.0,41.9067,12.5496,1,1,0
12615,Autovettura,0,0,1,0,0.0,41.9067,12.5496,1,1,1
12614,Autovettura,0,0,2,0,0.0,,,1,2,1
12613,Autovettura,0,0,2,0,0.0,,,1,2,1
12607,Autovettura,0,0,1,0,0.0,41.9059,12.4596,1,2,1
12606,Autovettura,0,0,1,0,0.0,41.9059,12.4596,1,2,1
12600,Autovettura,0,0,2,0,0.0,41.795,12.5846,1,1,1
12599,Autovettura,0,0,2,0,0.0,41.795,12.5846,1,1,0
12598,Autovettura,0,0,2,0,0.0,41.795,12.5846,1,1,0
12589,Autovettura,0,0,1,0,0.0,41.8358,12.5008,1,2,1
12683,Autovettura,0,0,2,0,0.0,,,1,2,1
12588,Autovettura,0,0,1,0,0.0,41.8358,12.5008,1,2,1
12573,Autovettura,0,0,3,0,0.0,41.8432,12.6208,1,2,0
12572,Autovettura,0,0,3,0,0.0,41.8432,12.6208,1,2,0
12567,Autovettura,1,0,1,0,0.0,41.8857,12.6668,1,1,1
12566,Autovettura,1,0,1,0,0.0,41.8857,12.6668,1,1,1
12565,Autovettura,1,0,1,0,0.0,41.8857,12.6668,1,1,1
12540,Autovettura,0,0,2,0,0.0,41.8729,12.5155,1,1,0
12539,Autovettura,0,0,2,0,0.0,41.8729,12.5155,1,1,0
12520,Autovettura,0,0,5,0,0.0,41.8885,12.5654,1,2,1
12519,Autovettura,0,0,5,0,0.0,41.8885,12.5654,1,2,0
12518,Autovettura,0,0,5,0,0.0,41.8885,12.5654,1,2,1
12517,Autovettura,0,0,5,0,0.0,41.8885,12.5654,1,2,0
12516,Autovettura,0,0,5,0,0.0,41.8885,12.5654,1,2,0
12574,Autovettura,0,0,3,0,0.0,41.8432,12.6208,1,2,0
12921,Autovettura,0,0,1,0,0.0,41.8779,12.5448,1,2,1
12701,Autovettura,0,0,3,0,0.0,,,1,1,0
12703,Autovettura,0,0,3,0,0.0,,,1,1,0
12909,Autovettura,0,0,1,0,0.0,41.8941,12.4319,1,2,0
12907,Autovettura,0,0,2,0,0.0,41.8751,12.5695,1,2,0
12906,Autocarro,0,0,2,0,0.0,41.8751,12.5695,1,2,0
12903,Autovettura,0,0,2,0,0.0,41.8809,12.5605,1,2,0
12902,Autovettura,0,0,2,0,0.0,41.8809,12.5605,1,2,0
12894,Autovettura,0,0,2,0,0.0,41.7337,12.2696,1,1,0
12893,Autovettura,0,0,2,0,0.0,41.7337,12.2696,1,1,0
12873,Autovettura,0,0,1,0,0.0,41.8416,12.4815,1,2,1
12872,Autovettura,0,0,1,0,0.0,41.8416,12.4815,1,2,0
12871,Autovettura,0,0,3,0,0.0,41.8588,12.5589,1,2,0
12870,Autovettura,0,0,3,0,0.0,41.8588,12.5589,1,2,0
12869,Autovettura,0,0,3,0,0.0,41.8588,12.5589,1,2,0
12702,Autovettura,0,0,3,0,0.0,,,1,1,0
12825,Autovettura,0,0,0,0,0.0,41.9121,12.4713,1,1,1
12823,Autovettura,0,0,2,0,0.0,41.9079,12.4455,1,1,1
12822,Autovettura,0,0,2,0,0.0,41.9079,12.4455,1,1,1
12817,Autovettura,0,0,1,0,0.0,41.8783,12.5264,1,1,1
12816,Autovettura,0,0,1,0,0.0,41.8783,12.5264,1,1,0
12760,Motociclo,0,0,1,0,0.0,41.9206,12.5466,1,2,0
12759,Autovettura,0,0,1,0,0.0,41.9206,12.5466,1,2,1
12743,Autovettura,0,0,5,0,0.0,41.9214,12.5469,1,1,0
12742,Autovettura,0,0,5,0,0.0,41.9214,12.5469,1,1,0
12741,Autovettura,0,0,5,0,0.0,41.9214,12.5469,1,1,0
12740,Autovettura,0,0,5,0,0.0,41.9214,12.5469,1,1,0
12739,Autovettura,0,0,5,0,0.0,41.9214,12.5469,1,1,0
12704,Autovettura,0,0,3,0,0.0,,,1,1,1
12824,Autovettura,0,0,0,0,0.0,41.9121,12.4713,1,1,1
11514,Autovettura,0,0,1,0,0.0,41.9148,12.3891,1,1,1
11513,Autovettura,0,0,1,0,0.0,41.9148,12.3891,1,1,0
11497,Autovettura,0,0,3,0,0.0,41.9504,12.4675,3,2,0
9987,Autovettura,0,0,0,0,0.0,41.9122,12.5401,1,2,1
9964,Autovettura,0,0,1,0,0.0,41.92,12.5009,1,1,1
9963,Autovettura,0,0,1,0,0.0,41.92,12.5009,1,1,1
9951,Autocarro,0,0,0,0,0.0,41.8646,12.5944,2,1,1
9950,Autovettura,0,0,0,0,0.0,41.8646,12.5944,2,1,1
9912,Autovettura,0,0,4,0,0.0,41.9549,12.5143,1,2,0
9911,Autovettura,0,0,4,0,0.0,41.9549,12.5143,1,2,0
9910,Autovettura,0,0,4,0,0.0,41.9549,12.5143,1,2,0
9909,Autovettura,0,0,4,0,0.0,41.9549,12.5143,1,2,1
9878,Autovettura,0,0,2,0,0.0,41.8767,12.5864,1,2,1
9877,Autovettura,0,0,2,0,0.0,41.8767,12.5864,1,2,0
9841,Autovettura,0,0,0,0,0.0,41.9248,12.4981,1,2,1
9988,Autovettura,0,0,0,0,0.0,41.9122,12.5401,1,2,1
9840,Autovettura,0,0,1,0,0.0,41.9287,12.493,1,2,1
9824,Autovettura,1,0,0,0,0.0,41.8769,12.458,2,2,1
9823,Autovettura,1,0,0,0,0.0,41.8769,12.458,2,2,1
9822,Autovettura,1,0,0,0,0.0,41.8769,12.458,2,2,0
9806,Autovettura,0,0,1,0,0.0,41.9456,12.5259,1,2,1
9805,Autovettura,0,0,1,0,0.0,41.9456,12.5259,1,2,0
9804,Autovettura,1,0,1,0,0.0,41.8843,12.5309,1,2,1
9803,Autovettura,1,0,1,0,0.0,41.8843,12.5309,1,2,0
9765,Autovettura,0,0,2,0,0.0,41.8306,12.5326,3,2,0
9764,Autovettura,0,0,2,0,0.0,41.8306,12.5326,3,2,0
9762,Autovettura,1,0,0,0,0.0,41.8869,12.5105,1,2,1
9761,Motociclo,1,0,0,0,0.0,41.8869,12.5105,1,2,1
9760,Autovettura,1,0,0,0,0.0,41.8869,12.5105,1,2,1
9839,Autovettura,0,0,1,0,0.0,41.9287,12.493,1,2,0
9759,Autovettura,1,0,0,0,0.0,41.8869,12.5105,1,2,0
9995,Autovettura,0,0,1,0,0.0,41.9319,12.5607,1,2,1
10072,Autovettura,0,0,2,0,0.0,42.0145,12.3768,1,1,0
10302,Autovettura,0,0,1,0,0.0,41.8923,12.5361,1,2,1
10301,Autocarro,0,0,1,0,0.0,41.8923,12.5361,1,2,1
10248,Autovettura,0,0,1,0,0.0,41.813,12.4459,1,1,1
10247,Autovettura,0,0,1,0,0.0,41.813,12.4459,1,1,1
10227,Autovettura,1,0,0,0,0.0,41.8989,12.5639,1,2,0
10226,Autovettura,1,0,0,0,0.0,41.8989,12.5639,1,2,1
10223,Autovettura,0,0,2,0,0.0,,,1,2,1
10222,Autovettura,0,0,2,0,0.0,,,1,2,1
10214,Autovettura,0,0,1,0,0.0,41.9035,12.5087,1,1,1
10213,Autovettura,0,0,1,0,0.0,41.9035,12.5087,1,1,1
10199,Autovettura,0,0,1,0,0.0,41.9359,12.5141,1,2,1
10198,Autovettura,0,0,1,0,0.0,41.9359,12.5141,1,2,1
9996,Autovettura,0,0,1,0,0.0,41.9319,12.5607,1,2,0
10131,Autovettura,0,0,0,0,0.0,,,1,2,1
10129,Autovettura,1,0,1,0,0.0,41.9378,12.4253,1,1,1
10128,Motociclo,1,0,1,0,0.0,41.9378,12.4253,1,1,0
10127,Autovettura,1,0,1,0,0.0,41.9378,12.4253,1,1,0
10096,Autovettura,0,0,1,0,0.0,41.8329,12.5104,1,1,1
10095,Autovettura,0,0,1,0,0.0,41.8329,12.5104,1,1,0
10089,Autovettura,0,0,0,0,0.0,41.8977,12.4964,1,1,1
10088,Autovettura,0,0,0,0,0.0,41.8977,12.4964,1,1,1
10085,Autovettura,0,0,0,0,0.0,41.8778,12.5191,1,2,1
10084,Autovettura,0,0,0,0,0.0,41.8778,12.5191,1,2,1
10083,Autovettura,0,0,0,0,0.0,41.8778,12.5191,1,2,1
10074,Autovettura,0,0,2,0,0.0,42.0145,12.3768,1,1,1
10073,Autovettura,0,0,2,0,0.0,42.0145,12.3768,1,1,0
10130,Autovettura,0,0,0,0,0.0,,,1,2,1
10305,Autovettura,0,0,1,0,0.0,41.9498,12.3744,1,2,0
9750,Autovettura,1,0,1,0,0.0,41.8678,12.6328,3,2,1
9748,Autovettura,1,0,1,0,0.0,41.8678,12.6328,3,2,1
9383,Autovettura,0,0,4,0,0.0,41.8897,12.5891,1,1,0
9382,Autovettura,0,0,4,0,0.0,41.8897,12.5891,1,1,0
9370,Autovettura,0,0,1,0,0.0,41.8786,12.4865,1,1,1
9369,Autovettura,0,0,1,0,0.0,41.8786,12.4865,1,1,0
9361,Autovettura,0,0,5,0,0.0,41.8691,12.5292,1,1,0
9360,Autovettura,0,0,5,0,0.0,41.8691,12.5292,1,1,0
9359,Autovettura,0,0,5,0,0.0,41.8691,12.5292,1,1,0
9358,Autovettura,0,0,5,0,0.0,41.8691,12.5292,1,1,0
9357,Autovettura,0,0,5,0,0.0,41.8691,12.5292,1,1,0
9344,Autovettura,0,0,1,0,0.0,41.8496,12.4614,1,2,1
9343,Autocarro,0,0,1,0,0.0,41.8496,12.4614,1,2,1
9342,Autovettura,0,0,1,0,0.0,41.865,12.6885,1,2,1
9384,Autovettura,0,0,4,0,0.0,41.8897,12.5891,1,1,1
9341,Autovettura,0,0,1,0,0.0,41.865,12.6885,1,2,1
9339,Autovettura,0,0,3,0,0.0,41.8524,12.5033,1,1,1
9338,Autovettura,0,0,3,0,0.0,41.8524,12.5033,1,1,1
9337,Autovettura,0,0,3,0,0.0,41.8524,12.5033,1,1,1
9321,Autovettura,1,0,1,0,0.0,41.907,12.4779,1,2,0
9320,Autovettura,1,0,1,0,0.0,41.907,12.4779,1,2,0
9305,Autovettura,0,0,0,0,0.0,41.8687,12.5364,1,1,1
9304,Autovettura,0,0,0,0,0.0,41.8687,12.5364,1,1,1
9276,Autovettura,0,0,3,0,0.0,41.8771,12.4494,1,2,1
9275,Autovettura,0,0,3,0,0.0,41.8771,12.4494,1,2,1
9274,Autovettura,0,0,3,0,0.0,41.8771,12.4494,1,2,1
9253,Autocarro,0,0,1,0,0.0,41.7383,12.2863,1,2,0
9252,Autovettura,0,0,1,0,0.0,41.7383,12.2863,1,2,1
9340,Autovettura,0,0,1,0,0.0,41.865,12.6885,1,2,1
9749,Autovettura,1,0,1,0,0.0,41.8678,12.6328,3,2,1
9385,Autovettura,0,0,4,0,0.0,41.8897,12.5891,1,1,0
9518,Autovettura,0,0,0,0,0.0,41.8451,12.4795,2,2,1
9725,Autovettura,0,0,1,0,0.0,41.8632,12.4608,2,1,1
9724,Autovettura,0,0,1,0,0.0,41.8632,12.4608,2,1,0
9702,Autovettura,0,0,1,0,0.0,41.8915,12.5563,2,1,1
9701,Autovettura,0,0,1,0,0.0,41.8915,12.5563,2,1,1
9647,Autovettura,0,0,3,0,0.0,41.9258,12.4874,1,2,0
9646,Autovettura,0,0,3,0,0.0,41.9258,12.4874,1,2,0
9645,Autovettura,0,0,3,0,0.0,41.9258,12.4874,1,2,1
9642,Autocarro,0,0,1,0,0.0,41.9077,12.4695,1,2,1
9641,Autovettura,0,0,1,0,0.0,41.9077,12.4695,1,2,1
9631,Autovettura,0,0,1,0,0.0,41.8642,12.5475,1,2,1
9630,Autovettura,0,0,1,0,0.0,41.8642,12.5475,1,2,0
9602,Autocarro,0,0,1,0,0.0,41.8824,12.4762,1,2,1
9517,Autovettura,0,0,0,0,0.0,41.8451,12.4795,2,2,1
9601,Autovettura,0,0,1,0,0.0,41.8824,12.4762,1,2,1
9599,Autovettura,1,0,2,0,0.0,41.8842,12.4891,1,2,0
9598,Autovettura,1,0,2,0,0.0,41.8842,12.4891,1,2,0
9589,Autovettura,0,0,1,0,0.0,42.014,12.3825,1,1,1
9588,Autovettura,0,0,1,0,0.0,42.014,12.3825,1,1,1
9581,Autovettura,0,0,2,0,0.0,42.0219,12.3755,1,2,1
9580,Autocarro,0,0,2,0,0.0,42.0219,12.3755,1,2,0
9556,Autovettura,0,0,0,0,0.0,41.8758,12.6305,1,2,1
9555,Autovettura,0,0,0,0,0.0,41.8758,12.6305,1,2,1
9548,Autovettura,0,0,1,0,0.0,41.9171,12.5684,2,2,0
9547,Autovettura,0,0,1,0,0.0,41.9171,12.5684,2,2,1
9522,Autovettura,0,0,1,0,0.0,41.735,12.2915,1,2,0
9521,Autovettura,0,0,1,0,0.0,41.735,12.2915,1,2,1
9600,Autovettura,1,0,2,0,0.0,41.8842,12.4891,1,2,0
10306,Autovettura,0,0,1,0,0.0,41.9498,12.3744,1,2,1
10318,Autocarro,0,0,2,0,0.0,,,1,1,1
10319,Autocarro,0,0,2,0,0.0,,,1,1,1
11117,Autovettura,0,0,1,0,0.0,41.9357,12.4435,1,1,1
11116,Autovettura,0,0,1,0,0.0,41.9357,12.4435,1,1,1
11107,Autovettura,0,0,0,0,0.0,41.8862,12.6665,1,1,1
11106,Autovettura,0,0,0,0,0.0,41.8862,12.6665,1,1,1
11076,Autovettura,0,0,1,0,0.0,41.8941,12.4157,1,1,1
11075,Autovettura,0,0,1,0,0.0,41.8941,12.4157,1,1,0
11065,Autovettura,0,0,3,0,0.0,41.8618,12.4719,1,1,1
11064,Autovettura,0,0,3,0,0.0,41.8618,12.4719,1,1,1
11063,Autovettura,0,0,3,0,0.0,41.8618,12.4719,1,1,1
11055,Autovettura,0,0,0,0,0.0,41.8705,12.4818,1,2,1
11054,Autovettura,0,0,0,0,0.0,41.8705,12.4818,1,2,1
11026,Autovettura,0,0,1,0,0.0,41.8888,12.4984,1,2,1
11159,Autovettura,1,0,1,0,0.0,41.8613,12.5685,1,2,0
11025,Autovettura,0,0,1,0,0.0,41.8888,12.4984,1,2,0
11011,Autovettura,0,0,4,0,0.0,41.8931,12.4812,1,1,0
11010,Autovettura,0,0,4,0,0.0,41.8931,12.4812,1,1,1
11009,Autovettura,0,0,4,0,0.0,41.8931,12.4812,1,1,0
10988,Autovettura,0,0,0,0,0.0,41.8861,12.4012,1,2,1
10987,Autovettura,0,0,0,0,0.0,41.8861,12.4012,1,2,1
10980,Autovettura,0,0,2,0,0.0,41.7923,12.4856,1,3,1
10979,Autovettura,0,0,2,0,0.0,41.7923,12.4856,1,3,1
